Reading_ID,Timestamp,Machine_ID,Equipment_Type,Location,Shift,Temperature,Pressure,Vibration,Humidity,Voltage,Current,RPM,Power_Consumption,Machine_Status,Age_Years,Maintenance_Due,Last_Maintenance_Days,Operating_Hours,Load_Percent,Ambient_Temp,Oil_Level,Noise_Level,Uptime_Hours,Downtime_Hours,Production_Count,Defect_Count,Sensor_ID,Firmware_Version,Anomaly_Flag,Temp_Rolling_Mean,Temp_Rolling_STD,Pressure_Rolling_Mean,Vibration_Rolling_Mean,Advanced_Predicted_Anomaly
RD950475,2024-04-28 14:13:00,MCH807,Hydraulic Press,Unit 3,Day,33.44,3.94,7.21,64.14,218.98,37.19,2682,24.16,Maintenance,20,NO,48,15,69.51,41.01,55.7,92.48,4238,17,61,3,SEN2434,V3.8.6,1,53.37200000000007,23.90177336517054,6.676,7.040000000000001,0
RD557423,2024-06-15 04:13:00,MCH372,Motor,Factory 1,Morning,39.81,8.56,42.99,44.34,225.3,22.68,2861,2.51,Offline,5,yes,70,16,81.82,27.32,32.38,72.28,4569,480,790,4,SEN9414,V2.5.6,0,52.22400000000007,24.501702593901022,6.816,13.902000000000001,0
RD235830,2024-01-25 22:35:00,MCH902,Hydraulic Press,Plant C,Night,-50.0,9.59,25.84,49.46,207.69,22.75,2480,9.16,Standby,18,NO,64,0,61.62,27.4,57.96,50.83,9141,2,345,0,SEN5829,V3.8.0,0,32.26800000000007,52.09101909158599,6.87,15.692000000000002,1
RD370844,2024-02-01 05:49:00,MCH160,Compressor,Unit 1,Morning,27.43,4.51,30.17,55.21,238.86,6.97,2852,18.55,Standby,15,No,70,14,53.27,26.76,30.27,47.06,3476,85,734,8,SEN1123,V5.3.1,0,18.802000000000067,38.94029879186825,6.090000000000001,21.394000000000002,0
RD807931,2024-01-25 12:12:00,MCH673,Transformer,Warehouse 1,Morning,76.26,5.6,25.54,69.98,219.7,22.05,2770,12.88,Running,16,YES,37,4,26.12,43.17,27.83,87.91,8279,174,266,8,SEN4584,V5.3.7,0,25.38800000000007,46.22853415370182,6.44,26.35,0
RD451493,2024-03-25 13:35:00,MCH529,Turbine,Warehouse 2,Afternoon,38.2,3.71,24.78,80.28,249.54,42.23,1696,32.22,Idle,12,yes,69,10,75.11,17.53,32.77,87.91,360,98,143,5,SEN1452,V5.6.1,0,26.34000000000007,46.484111801775626,6.394,29.864000000000004,0
RD827867,2024-04-06 00:48:00,MCH609,Compressor,Factory 1,Morning,88.01,3.05,18.62,60.02,231.95,26.61,2806,19.56,Faulty,13,yes,12,3,34.21,25.53,58.91,87.97,7500,401,623,1,SEN8766,V4.0.7,1,35.980000000000075,54.31434110803495,5.292,24.990000000000002,0
RD611998,2024-03-06 11:47:00,MCH596,CNC Machine,Unit 3,Day,64.39,4.9,22.28,86.71,208.11,18.17,2455,6.48,Maintenance,15,No,58,21,24.05,34.83,88.7,90.57,7871,249,723,5,SEN2437,V5.6.3,0,58.858000000000075,25.48403362892097,4.354,24.278,0
RD245795,2024-05-15 23:04:00,MCH508,Compressor,Plant A,Afternoon,75.71,2.56,42.17,38.03,249.3,43.79,1812,39.49,Idle,19,NO,83,0,42.74,16.57,31.08,58.3,9723,380,684,5,SEN9905,V4.6.4,1,68.51400000000007,18.893272082939323,3.9639999999999995,26.677999999999997,0
RD863242,2024-06-25 13:30:00,MCH153,Motor,Unit 2,Morning,54.15,8.63,34.81,79.4,220.32,5.32,1872,13.45,Faulty,15,no,54,3,45.01,41.42,75.17,56.11,2338,83,696,1,SEN4953,V2.2.1,1,64.09200000000007,19.211822401843467,4.57,28.532000000000004,0
RD369512,2024-03-15 00:54:00,MCH538,Turbine,Warehouse 1,Morning,25.18,7.17,35.66,51.5,214.01,13.15,2298,25.17,Maintenance,8,No,60,8,89.48,17.13,74.12,63.32,6225,5,102,5,SEN5403,V4.0.3,0,61.48800000000008,23.907218993433233,3.3980000000000006,30.708000000000006,0
RD411280,2024-05-21 23:52:00,MCH756,Turbine,Warehouse 1,Morning,52.7,7.17,28.11,33.55,205.68,10.26,1916,42.89,Standby,9,YES,74,11,83.46,32.55,83.81,46.68,6265,9,941,0,SEN4818,V4.9.7,0,54.426000000000066,18.779468309831746,3.3980000000000006,32.606,0
RD470186,2024-04-25 03:17:00,MCH627,CNC Machine,Plant C,Night,75.78,7.04,40.23,69.83,200.4,37.09,2292,8.25,Idle,16,NO,82,9,90.13,36.62,67.13,63.64,5827,360,675,2,SEN5872,V5.3.0,0,56.70400000000008,20.865278095438235,3.3980000000000006,36.196,0
RD468737,2024-05-28 17:31:00,MCH766,Hydraulic Press,Unit 2,Night,69.07,3.12,35.45,34.77,230.19,35.9,2985,21.24,Faulty,4,YES,46,12,91.61,33.11,44.7,49.58,9081,303,493,10,SEN7016,V5.1.0,1,55.37600000000007,19.52121486998119,3.3980000000000006,34.852000000000004,0
RD204775,2024-04-29 04:59:00,MCH770,Hydraulic Press,Unit 2,Morning,93.03,9.66,10.69,37.19,248.75,6.4,1450,3.41,Maintenance,16,yes,61,17,80.28,26.44,80.97,77.82,7710,36,291,5,SEN5229,V5.6.3,0,63.152000000000065,25.68219753058477,3.3980000000000006,30.028,1
RD606231,2024-06-25 19:46:00,MCH805,Motor,Factory 2,Afternoon,63.48,-10.0,18.86,74.43,218.66,26.74,2339,47.94,Faulty,5,Yes,36,17,61.88,30.48,64.87,79.41,1787,256,399,9,SEN4643,V1.3.2,0,70.81200000000007,15.026292623264526,3.3980000000000006,26.668,0
RD264033,2024-06-05 13:33:00,MCH329,Transformer,Factory 1,Day,20.79,2.41,23.69,68.86,202.76,26.14,2007,41.36,Standby,7,NO,43,2,65.04,17.68,34.92,75.14,6978,416,710,5,SEN9753,V1.6.7,0,64.43000000000006,26.803284313680184,2.446,25.784,0
RD889114,2024-06-24 16:21:00,MCH769,Pump,Plant B,Night,81.67,4.59,1.03,42.49,219.43,23.11,2325,24.8,Faulty,10,NO,77,4,48.72,17.88,49.4,51.99,7398,453,397,7,SEN5398,V5.9.6,0,65.60800000000008,27.545965584817935,1.9560000000000002,17.944000000000003,0
RD337274,2024-06-05 12:09:00,MCH113,Motor,Warehouse 1,Day,96.23,2.77,35.53,56.31,206.7,41.07,2382,22.07,Offline,12,YES,16,4,87.43,41.42,48.52,56.99,3395,202,837,4,SEN5851,V4.0.1,0,71.04000000000008,30.87599876927019,1.886,17.96,0
RD536153,2024-02-20 13:00:00,MCH103,Conveyor,Unit 3,Day,20.34,9.26,46.31,38.17,246.78,49.6,1436,9.51,Faulty,11,NO,8,22,66.51,22.54,91.67,70.96,545,56,156,4,SEN9650,V3.4.7,0,56.50200000000008,34.797528216814115,1.8059999999999998,25.084,1
RD313948,2024-05-02 04:16:00,MCH526,Generator,Plant A,Morning,73.48,1.99,15.57,39.33,242.81,47.26,1617,38.33,running,10,NO,9,15,63.24,33.79,72.83,47.15,2915,258,17,10,SEN1874,V3.4.2,0,58.50200000000008,35.57749246363456,4.204,24.426,0
RD364545,2024-06-11 13:18:00,MCH370,Motor,Plant B,Afternoon,39.7,4.25,27.97,46.04,238.05,35.24,1778,37.91,Idle,20,NO,56,6,54.85,17.15,28.35,67.66,6186,188,476,10,SEN5289,V2.1.7,1,62.28400000000007,31.316267817222,4.572,25.282,0
RD102885,2024-01-16 20:57:00,MCH403,Conveyor,Warehouse 2,Morning,65.51,8.45,34.01,81.62,242.49,48.65,1821,30.39,Standby,17,No,26,20,77.39,16.85,81.8,52.47,9008,470,175,6,SEN7035,V3.1.2,0,59.05200000000008,29.602345684083453,5.343999999999999,31.877999999999997,0
RD826430,2024-05-06 14:52:00,MCH212,Turbine,Unit 1,Night,33.71,5.22,49.74,44.72,237.5,43.41,2844,28.88,Offline,13,no,87,4,82.68,21.8,79.39,82.15,4668,156,727,9,SEN7098,V5.6.7,0,46.54800000000007,22.26801899585983,5.834,34.72,0
RD659128,2024-03-04 01:30:00,MCH316,Turbine,Unit 3,Morning,50.8,9.84,40.05,61.37,245.94,22.33,1727,30.02,Standby,17,NO,87,1,83.14,18.13,63.16,99.54,7961,166,774,9,SEN8623,V2.9.9,0,52.64000000000008,16.801165138167477,5.95,33.468,0
RD781766,2024-01-13 21:44:00,MCH623,Hydraulic Press,Warehouse 1,Day,80.43,9.05,9.36,72.33,216.56,36.71,1771,22.05,Standby,1,No,71,6,36.14,24.04,79.63,93.53,8394,119,371,0,SEN7421,V1.3.4,0,54.03000000000007,19.088180898136265,7.362,32.226,0
RD132745,2024-03-16 12:29:00,MCH813,Conveyor,Unit 1,Afternoon,51.83,3.97,13.32,87.71,206.02,19.31,2306,30.51,Maintenance,14,yes,53,23,70.38,28.65,98.23,72.93,162,244,938,10,SEN8289,V3.2.9,0,56.456000000000074,17.5178360535762,7.306,29.296000000000003,0
RD697692,2024-02-27 12:26:00,MCH851,Pump,Factory 2,Night,57.49,5.66,25.85,52.52,248.31,22.81,2510,10.39,Idle,13,yes,44,1,65.85,15.76,33.6,53.21,2634,82,230,7,SEN4906,V1.2.5,0,54.852000000000075,16.835442376129418,6.748,27.663999999999998,0
RD910909,2024-06-15 17:09:00,MCH368,Hydraulic Press,Plant B,Night,92.15,8.46,34.44,81.28,203.49,18.52,1921,37.87,Idle,16,yes,47,1,44.92,19.09,76.7,73.9,6804,319,761,9,SEN6226,V5.8.9,0,66.54000000000008,18.673767696958585,7.396000000000001,24.603999999999996,0
RD460269,2024-03-02 17:09:00,MCH926,Motor,Plant B,Morning,78.44,4.26,29.14,59.65,236.61,25.2,2989,4.04,Maintenance,11,no,16,2,39.55,20.73,65.38,82.36,3294,499,467,7,SEN7053,V1.9.4,1,72.06800000000007,16.851608825271658,6.28,22.422000000000004,0
RD701121,2024-05-04 05:18:00,MCH950,Robot,Factory 1,Day,69.47,6.01,30.14,43.48,231.21,43.9,2165,32.85,Faulty,11,no,3,13,87.61,40.93,70.33,84.24,2831,411,749,2,SEN1613,V1.2.2,1,69.87600000000008,16.191889327684205,5.672,26.577999999999996,0
RD990461,2024-03-12 05:02:00,MCH866,Pump,Plant C,Night,37.73,5.21,45.9,70.86,200.01,34.38,1186,24.71,Standby,11,NO,5,7,88.52,28.2,22.63,84.15,8158,147,346,4,SEN1241,V5.7.3,0,67.05600000000007,20.716263659259933,5.92,33.094,0
RD238793,2024-05-31 08:37:00,MCH202,Transformer,warehouse 1,Afternoon,99.18,6.58,0.47,65.4,248.08,40.31,1953,3.9,Faulty,3,No,4,17,42.99,19.48,20.65,96.66,6713,63,440,5,SEN8884,V2.4.5,0,75.39400000000008,24.02855655256831,6.104,28.018,1
RD232972,2024-06-01 18:04:00,MCH181,Turbine,Warehouse 1,Day,38.67,3.82,29.63,42.88,222.91,41.98,1569,41.9,Idle,9,NO,82,2,59.43,32.99,50.46,93.1,3410,45,962,10,SEN1448,V2.2.5,1,62.21200000000008,22.685198257894374,5.176,27.056,0
RD460095,2024-06-13 12:27:00,MCH399,CNC Machine,Unit 1,Afternoon,38.67,3.09,36.94,55.33,212.3,22.96,1761,44.97,Standby,2,YES,57,13,85.6,35.09,61.13,48.68,9834,343,332,6,SEN9525,V1.9.6,0,62.21200000000008,22.685198257894374,4.942,28.615999999999996,0
RD627517,2024-02-22 01:16:00,MCH144,Transformer,Unit 3,Day,50.13,6.7,44.87,88.83,204.88,34.18,1820,15.34,Standby,17,NO,66,23,32.95,26.45,77.66,72.88,2080,245,882,10,SEN1842,V5.9.3,1,62.21200000000008,22.685198257894374,5.08,31.562,0
RD182112,2024-02-26 18:41:00,MCH762,Turbine,Unit 1,Night,64.95,6.93,42.48,36.35,240.08,15.68,1885,32.81,Offline,20,Yes,69,0,94.33,19.48,61.28,83.96,3838,185,302,7,SEN8741,V2.7.5,0,62.21200000000008,22.685198257894374,5.424,30.877999999999997,0
RD843556,2024-05-10 19:47:00,MCH314,CNC Machine,Plant A,Night,58.53,4.69,46.49,70.1,233.58,37.82,1619,8.25,Idle,12,Yes,6,1,87.29,39.11,51.16,88.75,7694,337,989,6,SEN6301,V4.2.5,0,62.21200000000008,22.685198257894374,5.046,40.082,0
RD973680,2024-01-23 12:27:00,MCH983,Motor,Factory 1,Night,98.78,6.19,29.34,60.0,207.47,42.18,1845,30.16,Running,6,Yes,38,1,76.15,29.61,87.32,64.29,3818,396,831,3,SEN3124,V1.3.1,0,62.21200000000008,22.685198257894374,5.5200000000000005,40.024,0
RD774447,2024-06-21 12:39:00,MCH140,Pump,Warehouse 1,Afternoon,66.89,5.14,27.04,46.87,209.06,28.45,1857,20.63,Faulty,17,yes,61,10,81.12,26.25,49.36,92.7,5460,203,19,6,SEN7995,V4.3.1,0,67.85600000000008,18.485515410720193,5.93,38.044,0
RD644826,2024-02-19 07:57:00,MCH548,Pump,Unit 1,Afternoon,64.7,500.0,42.3,69.52,233.13,24.93,2061,27.26,Standby,17,Yes,33,16,28.43,22.63,79.16,60.69,8082,452,462,9,SEN5839,V5.0.3,0,70.77000000000007,15.96988885371384,104.59,37.529999999999994,1
RD810075,2024-06-13 10:14:00,MCH217,Compressor,Warehouse 2,Day,33.68,5.52,21.56,65.33,204.12,37.8,2220,34.61,Running,16,YES,76,13,70.29,34.51,83.27,77.87,2796,429,580,10,SEN7343,V2.8.2,0,64.51600000000008,23.272207243834306,104.30800000000002,33.346,1
RD953444,2024-02-06 10:05:00,MCH422,Generator,Warehouse 1,Afternoon,45.37,9.11,14.48,67.76,220.45,47.54,2879,11.62,Maintenance,9,Yes,0,9,45.42,42.23,59.75,42.94,8636,236,188,4,SEN5867,V3.6.0,0,61.884000000000086,24.811703488474425,105.19200000000001,26.944,1
RD332440,2024-02-05 13:13:00,MCH357,Transformer,Unit 1,Morning,30.84,9.95,27.55,85.65,206.64,40.19,2916,45.0,Maintenance,9,yes,70,0,44.78,27.51,37.2,89.97,8008,406,339,1,SEN5665,V4.2.6,1,48.29600000000007,16.894739713886523,105.944,26.586000000000002,1
RD677758,2024-06-17 08:49:00,MCH144,Robot,Plant A,Afternoon,79.24,9.01,22.97,58.42,220.14,45.9,1041,5.29,Maintenance,10,NO,18,23,84.35,20.4,66.22,68.13,4146,59,637,3,SEN7097,V4.8.4,1,50.766000000000076,20.754630326748156,106.71799999999999,25.772,1
RD932078,2024-06-12 01:45:00,MCH872,Pump,Plant B,Afternoon,79.09,3.38,45.16,55.73,203.1,41.31,1807,21.82,Faulty,11,yes,19,0,22.72,19.27,92.53,82.94,2534,81,133,5,SEN4347,V2.0.9,0,53.64400000000008,23.9253888160668,7.394,26.344,0
RD207809,2024-02-06 08:08:00,MCH398,Conveyor,Warehouse 2,Day,59.5,8.73,30.92,58.79,214.74,36.35,2290,22.65,Running,12,YES,9,1,63.16,32.55,48.57,41.08,3553,9,246,3,SEN4478,V5.0.8,0,58.80800000000007,21.166564907891267,8.036,28.215999999999998,0
RD755529,2024-06-11 15:25:00,MCH550,Transformer,Plant C,Afternoon,99.12,6.43,43.81,55.52,225.0,38.59,1491,37.06,Offline,2,NO,25,13,79.25,38.83,57.11,40.91,1000,12,751,5,SEN6623,V3.4.9,0,69.55800000000008,25.781577143378442,7.5,34.08200000000001,0
RD148166,2024-03-26 04:06:00,MCH430,Conveyor,Unit 2,Morning,67.39,6.77,17.92,54.99,209.26,43.09,2946,14.47,Maintenance,7,no,38,22,80.3,20.43,41.8,75.19,1786,104,538,0,SEN4342,V4.3.9,0,76.86800000000008,14.97660742624889,6.864,32.156,0
RD439497,2024-06-09 08:14:00,MCH152,Compressor,Warehouse 1,Afternoon,39.33,2.76,22.54,67.54,220.03,18.55,1549,10.35,Maintenance,6,no,53,0,33.11,44.1,85.23,64.62,1025,346,82,8,SEN4035,V2.1.6,0,68.88600000000008,22.260438674922245,5.614,32.07,0
RD958278,2024-04-17 09:35:00,MCH264,Hydraulic Press,Unit 1,Morning,64.8,3.1,17.47,38.68,210.32,39.92,2800,21.24,Offline,1,no,24,24,33.11,44.73,56.53,84.28,1117,79,228,2,SEN5995,V2.7.7,1,66.02800000000006,21.528129737624077,5.558,26.532,0
RD947159,2024-06-28 04:16:00,MCH691,Generator,Factory 1,Morning,80.16,7.26,49.07,45.74,203.21,46.57,2049,18.8,Running,2,YES,20,0,52.79,23.02,91.42,88.79,2885,90,65,2,SEN9569,V5.2.6,0,70.16000000000007,21.94067569606674,6.1259999999999994,30.162,0
RD332932,2024-02-04 05:28:00,MCH816,Motor,Plant B,Day,30.01,7.26,17.58,86.48,206.37,33.42,1548,40.85,Idle,8,no,69,22,41.95,31.53,33.6,59.12,9334,101,738,5,SEN3161,V5.5.4,0,56.338000000000065,20.878670216275136,6.1259999999999994,24.916,0
RD824184,2024-04-21 02:48:00,MCH209,Pump,Factory 2,Night,60.03,5.47,23.81,85.6,246.17,44.07,2131,37.06,Faulty,15,NO,50,18,42.61,20.54,84.08,61.94,8730,213,48,8,SEN9104,V5.8.3,0,54.86600000000008,20.15146222982279,6.1259999999999994,26.094,0
RD793720,2024-02-18 03:31:00,MCH658,CNC Machine,Plant B,Night,83.78,8.41,27.37,89.67,243.68,34.41,1274,24.78,Faulty,1,yes,22,3,23.13,34.09,51.44,62.65,2758,398,30,7,SEN8590,V2.4.1,0,63.75600000000007,21.35308713043559,6.1259999999999994,27.060000000000002,0
RD845079,2024-05-01 23:50:00,MCH676,CNC Machine,Warehouse 2,Afternoon,35.84,4.41,40.74,34.63,248.03,41.44,1275,36.32,Maintenance,18,no,86,12,48.73,29.95,36.65,45.35,1020,240,682,5,SEN6587,V2.6.1,1,57.96400000000008,24.66928312699772,6.1259999999999994,31.714,0
RD181775,2024-02-22 17:38:00,MCH644,Hydraulic Press,Warehouse 2,Day,31.1,5.08,16.63,56.2,249.12,36.17,2368,1.22,Offline,20,no,2,14,71.05,39.19,29.68,86.75,1002,1,165,1,SEN5376,V2.9.6,0,48.15200000000008,23.355564005178188,6.1259999999999994,25.226,0
RD604867,2024-02-25 03:13:00,MCH239,Robot,Unit 3,Day,72.71,2.45,31.64,34.56,211.13,23.87,1290,16.99,Maintenance,16,YES,65,3,36.02,15.53,84.96,72.05,7735,136,788,0,SEN7513,V2.2.6,0,56.69200000000008,22.865009731027328,5.164,28.038,0
RD456972,2024-03-30 02:27:00,MCH838,CNC Machine,Factory 2,Morning,70.68,4.6,22.2,33.43,205.58,29.84,2488,6.1,Maintenance,3,no,66,10,61.14,40.09,53.06,63.17,1245,402,671,3,SEN6777,V3.9.0,1,58.822000000000074,23.733268211520603,4.99,27.715999999999998,0
RD616790,2024-03-01 17:05:00,MCH835,Robot,Plant B,Afternoon,67.31,9.45,18.2,58.45,230.05,26.76,2398,22.17,Faulty,12,Yes,32,22,67.65,24.33,85.01,95.52,219,30,821,9,SEN7712,V5.0.0,0,55.52800000000008,20.297563154230474,5.198,25.881999999999998,0
RD359366,2024-01-20 19:21:00,MCH445,CNC Machine,Unit 2,Afternoon,84.69,1.97,3.88,37.87,215.66,26.44,2162,3.2,Running,1,No,65,7,86.01,34.15,21.04,91.05,5175,268,259,9,SEN4623,V4.6.3,1,65.29800000000007,20.208319326454976,4.71,18.509999999999998,0
RD549422,2024-04-21 14:13:00,MCH989,Conveyor,Warehouse 2,Morning,34.52,2.74,5.46,51.36,230.65,10.76,2241,45.03,Standby,6,NO,2,4,80.15,39.98,89.6,67.18,2124,377,983,5,SEN6262,V5.2.9,0,65.98200000000007,18.767974584381065,4.242,16.276,0
RD436066,2024-01-09 06:04:00,MCH498,Compressor,Plant B,Day,63.1,8.6,31.18,54.24,208.21,18.91,1315,11.04,Offline,14,YES,24,8,35.07,31.51,96.36,96.98,7697,386,699,9,SEN9617,V5.7.8,0,64.06000000000009,18.395087659480556,5.4719999999999995,16.184,0
RD864905,2024-03-02 05:34:00,MCH233,Hydraulic Press,Warehouse 1,Afternoon,87.45,4.14,8.27,86.0,213.91,6.52,1507,10.45,Faulty,20,Yes,57,16,77.22,24.34,91.16,42.88,351,369,746,9,SEN8354,V3.5.7,1,67.41400000000007,21.216374101150592,5.380000000000001,13.398,1
RD537970,2024-03-20 16:30:00,MCH877,Compressor,Plant B,Night,92.09,8.06,45.0,51.44,248.1,5.48,2761,5.99,RUNNING,6,yes,83,21,74.91,22.79,70.7,77.06,624,224,289,0,SEN9066,V1.7.3,1,72.37000000000008,23.909321404004196,5.102,18.758,1
RD695132,2024-02-22 04:30:00,MCH581,Transformer,Factory 2,Morning,48.29,7.43,1.79,82.96,200.09,32.05,2442,26.93,Idle,8,YES,23,8,34.37,32.95,82.58,78.11,9445,124,876,8,SEN3888,V4.2.1,0,65.09000000000007,24.74719479052068,6.194000000000001,18.34,0
RD717639,2024-04-29 23:12:00,MCH651,Generator,Plant B,Night,46.27,5.09,44.28,84.51,247.8,36.75,1923,24.28,Running,2,NO,58,7,46.34,25.7,55.69,55.74,1429,96,527,8,SEN3591,V1.3.7,0,67.44000000000008,21.457805106766486,6.664,35.19,0
RD694772,2024-05-29 05:00:00,MCH633,Transformer,Unit 2,Afternoon,66.56,9.7,44.28,31.69,222.57,36.69,1741,13.12,Idle,16,1,21,9,89.25,16.34,33.5,94.44,6073,313,423,3,SEN4313,V1.0.3,0,68.13200000000008,21.338311085931185,6.884,35.19,0
RD933451,2024-01-10 16:53:00,MCH918,Turbine,Unit 3,Night,92.61,4.74,38.81,66.56,235.35,18.6,2607,47.3,Running,13,Yes,55,9,61.74,18.36,60.96,75.04,7598,140,230,1,SEN6123,V4.7.2,1,69.16400000000007,22.5940053996624,7.0040000000000004,35.19,0
RD728741,2024-03-07 22:38:00,MCH231,Motor,Plant C,Night,33.5,6.43,31.14,69.82,235.35,46.23,1355,11.14,Running,4,NO,89,14,66.53,38.32,45.03,99.75,6831,365,790,0,SEN6249,V3.6.9,0,57.44600000000007,22.922249671443126,6.678,35.19,0
RD562018,2024-02-26 16:43:00,MCH408,Compressor,Plant A,Afternoon,98.77,8.55,36.26,30.37,228.73,9.89,2561,2.77,Running,12,Yes,45,19,78.02,25.19,35.26,54.02,604,42,31,9,SEN1137,V4.5.5,1,67.54200000000007,28.35450881253233,6.902000000000001,35.19,1
RD255612,2024-05-14 21:06:00,MCH787,Conveyor,Factory 1,Afternoon,94.84,3.44,25.46,56.57,248.94,15.81,1716,26.99,Standby,14,no,58,7,31.18,33.28,82.47,48.15,4359,484,989,3,SEN9945,V4.0.2,0,77.25600000000007,27.553523005234247,6.572000000000001,35.19,0
RD345648,2024-06-08 17:19:00,MCH667,Robot,Factory 2,Day,53.59,7.3,30.57,47.91,223.02,21.84,2797,26.35,Running,20,NO,45,13,24.04,39.15,65.26,66.21,3161,435,865,6,SEN7989,V1.7.2,0,74.66200000000008,29.363316740449694,6.0920000000000005,32.448,0
RD553755,2024-03-29 09:40:00,MCH425,Hydraulic Press,Warehouse 2,Night,64.44,7.65,3.62,52.25,221.75,35.74,1220,49.82,Idle,8,No,88,3,87.66,41.29,53.0,70.69,6441,462,176,4,SEN1813,V4.9.2,0,69.02800000000008,27.714916020077954,6.674000000000001,25.41,0
RD703117,2024-06-04 16:53:00,MCH557,Compressor,Plant C,Night,67.0,4.82,2.43,33.22,228.02,46.72,1321,34.16,Offline,4,yes,60,12,42.1,27.76,31.83,54.22,1315,485,376,4,SEN3826,V1.8.7,0,75.72800000000008,19.93671412244187,6.352000000000001,19.668,0
RD725117,2024-06-17 15:34:00,MCH684,Robot,Unit 1,Night,63.62,8.43,35.13,80.3,216.99,13.4,2490,46.05,Running,13,no,75,12,75.71,43.14,24.78,98.78,2569,214,280,9,SEN5919,V2.1.2,0,68.69800000000008,15.479467691105333,6.328,19.442,0
RD390686,2024-01-30 10:29:00,MCH709,CNC Machine,Plant C,Day,62.09,9.58,31.39,54.55,210.83,33.69,2959,34.46,Maintenance,5,no,78,3,51.52,21.32,22.83,78.61,6761,199,327,0,SEN1932,V5.4.9,0,62.14800000000007,5.104034678563064,8.026,20.627999999999997,0
RD812244,2024-02-14 15:55:00,MCH559,CNC Machine,Plant B,Morning,55.81,9.58,21.09,42.39,216.17,9.04,2474,23.48,Offline,1,Yes,58,18,80.57,41.35,97.69,68.9,7857,161,564,10,SEN3232,V2.0.5,0,62.59200000000008,4.187776259540895,8.026,18.732,0
RD171347,2024-05-13 22:41:00,MCH641,CNC Machine,Factory 2,Night,76.94,4.43,37.42,77.39,203.01,40.01,1636,26.17,Running,15,NO,74,22,49.78,24.62,74.01,92.97,7403,217,85,7,SEN5653,V2.6.7,0,65.09200000000007,7.767719742625506,8.026,25.491999999999997,0
RD782273,2024-06-14 21:59:00,MCH933,Transformer,Unit 1,Night,38.46,9.0,32.71,60.18,244.5,40.15,1709,17.69,Faulty,12,NO,69,8,78.01,35.4,51.26,66.6,6918,378,991,0,SEN6441,V2.2.6,0,59.38400000000007,14.000593915972802,8.026,31.548000000000002,0
RD431733,2024-05-19 17:51:00,MCH219,Pump,Plant B,Night,95.64,8.12,40.69,55.23,205.56,7.38,1981,9.98,Standby,9,YES,59,0,30.64,43.9,82.64,89.79,654,53,902,3,SEN7079,V2.4.5,1,65.78800000000008,21.653892721632616,8.026,32.660000000000004,0
RD705311,2024-04-01 06:39:00,MCH946,Turbine,Unit 2,Afternoon,88.93,9.0,34.36,33.29,206.21,36.38,2698,41.8,Offline,14,no,5,3,66.35,18.41,48.84,70.69,740,189,932,8,SEN8729,V1.5.4,0,71.15600000000006,23.734806297924017,8.026,33.254,0
RD450246,2024-03-19 14:32:00,MCH116,Hydraulic Press,Plant B,Night,61.02,9.98,28.75,49.1,225.4,28.81,2641,4.16,Maintenance,12,YES,51,9,51.76,24.32,98.17,70.27,1168,323,943,8,SEN4805,V3.2.5,0,72.19800000000006,22.995510866253298,8.106,34.785999999999994,0
RD146070,2024-05-27 14:06:00,MCH723,Conveyor,Plant B,Morning,30.76,8.55,12.34,34.18,212.37,44.74,1572,48.5,Offline,9,NO,29,5,89.21,41.44,28.83,40.78,6018,420,723,7,SEN5690,V3.5.8,0,62.96200000000008,29.082971306246794,8.930000000000001,29.77,1
RD668665,2024-05-07 00:42:00,MCH120,Compressor,Factory 1,Afternoon,90.87,8.05,3.93,64.43,236.45,48.28,2014,39.73,Running,16,no,83,16,87.27,41.25,54.77,81.21,3988,480,932,6,SEN1194,V1.4.8,0,73.44400000000007,27.442775552045994,8.74,24.014,0
RD710943,2024-02-15 00:18:00,MCH464,Transformer,Warehouse 1,Night,33.64,5.77,44.68,81.76,248.5,47.92,2338,46.03,Idle,2,no,87,2,42.2,27.02,54.77,46.34,5124,207,579,1,SEN6488,V4.5.7,0,61.044000000000075,28.876113485023822,8.270000000000001,24.812,1
RD217475,2024-03-11 16:47:00,MCH254,Conveyor,Unit 1,morning,54.18,8.22,6.72,71.52,223.95,32.09,3000,33.77,Maintenance,11,No,86,22,78.66,31.69,95.07,94.05,2341,421,496,3,SEN1951,V5.6.2,0,54.09400000000007,24.306854588777526,8.114,19.284000000000002,0
RD798147,2024-01-09 18:59:00,MCH633,Hydraulic Press,Factory 1,Afternoon,58.77,5.09,45.19,34.12,218.69,43.16,1300,16.48,Running,15,no,39,3,60.9,20.51,21.07,70.89,6404,125,156,7,SEN4280,V5.8.6,0,53.64400000000008,24.167000848263633,7.136000000000001,22.572000000000003,0
RD778981,2024-03-23 00:24:00,MCH290,Generator,Warehouse 2,Night,87.16,5.12,41.58,72.21,236.52,37.38,2673,15.37,Faulty,11,NO,77,14,25.55,21.92,28.81,88.5,6902,409,539,7,SEN4455,V1.0.2,0,67.70600000000007,20.959729960091888,6.450000000000001,28.419999999999998,0
RD582355,2024-04-11 14:54:00,MCH675,Motor,Unit 2,Night,87.16,9.48,35.64,71.26,228.29,36.15,2822,9.22,Idle,11,no,5,9,95.7,26.35,27.38,73.97,2268,304,78,0,SEN1571,V3.8.4,0,67.70600000000007,20.959729960091888,6.7360000000000015,34.762,0
